ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
400124, 0.296956992469, 0.45913411831, Eshoo, Democrat, rank-and-file Democrat, 8, 364, 182, 228
400663, 0.294435715686, 0.358555452443, Matsui, Democrat, rank-and-file Democrat, 6, 330, 60, 65
400230, 0.274602693245, 0.548405128457, Langevin, Democrat, rank-and-file Democrat, 26, 367, 191, 331
400355, 0.328505442132, 0.614114430273, Sánchez, Democrat, moderate Democratic leader, 19, 233, 177, 352
412539, 0.759695693193, 0.721530576766, Brooks [IN5], Republican, rank-and-file Republican, 13, 192, 127, 152
412195, 0.289793572077, 0.552299371323, Castor, Democrat, rank-and-file Democrat, 7, 238, 147, 157
400657, 0.596928877987, 0.346988661209, Cuellar, Democrat, centrist Democrat, 9, 139, 40, 188
400640, 0.74054985358, 0.738371674326, Fortenberry, Republican, moderate Republican leader, 11, 141, 71, 77
400157, 0.694348613877, 0.569929593208, Granger, Republican, rank-and-file Republican, 5, 90, 24, 27
412486, 0.673113174314, 0.42160818806, Herrera Beutler, Republican, rank-and-file Republican, 7, 116, 124, 135
412283, 0.759189741832, 0.715111680517, Hunter, Republican, rank-and-file Republican, 16, 148, 156, 214
412474, 0.839501976568, 0.513703842836, Mulvaney, Republican, rank-and-file Republican, 0, 0, 0, 0
412443, 0.894650681357, 0.569890108929, Palazzo, Republican, conservative Republican, 8, 199, 100, 136
412572, 0.776884854349, 0.549068605266, Rice [SC7], Republican, rank-and-file Republican, 8, 94, 138, 186
412534, 0.44723982249, 0.474034921733, Schneider, Democrat, centrist Democrat, 23, 297, 230, 422
412410, 0.769188071476, 0.219271919559, Webster, Republican, moderate Republican follower, 2, 136, 27, 28
400643, 0.68820179045, 0.524764882293, Foxx, Republican, rank-and-file Republican, 16, 63, 131, 166
412388, 0.812999117221, 0.549155074697, Graves [GA14], Republican, rank-and-file Republican, 4, 112, 13, 15
412437, 0.860820123862, 0.531812879467, Huizenga, Republican, rank-and-file Republican, 8, 145, 54, 73
400206, 0.852995466596, 0.927843183094, Johnson [TX3], Republican, moderate Republican leader, 35, 126, 282, 689
400247, 0.773772539853, 0.232331224635, Lucas, Republican, moderate Republican follower, 4, 101, 32, 35
400297, 0.71823429512, 0.667388266447, Nunes, Republican, rank-and-file Republican, 10, 79, 86, 98
412551, 0.933599108541, 0.545460371292, Pittenger, Republican, conservative Republican, 12, 226, 143, 243
400626, 0.737386245881, 0.830927007346, Price [GA6], Republican, moderate Republican leader, 0, 0, 0, 0
412462, 0.812513905865, 0.848091124397, Renacci, Republican, moderate Republican leader, 20, 200, 344, 603
412315, 0.521660917593, 0.589354152259, Schrader, Democrat, centrist Democrat, 13, 193, 147, 225
412213, 0.896572099211, 0.737033950292, Walberg, Republican, conservative Republican, 24, 168, 158, 240
400419, 0.685086723266, 0.647713612737, Walden, Republican, rank-and-file Republican, 15, 71, 80, 87
400433, 0.896435002926, 0.812829807123, Wilson [SC2], Republican, conservative Republican leader, 23, 195, 315, 484
